Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Day,Month
2024-07-18,03:59:00,CNR3565058836,Success,CID474999,"Prime SUV",Rajajinagar,Basavanagudi,140,40,,,No,,859,UPI,17,3.7,3.9,Thursday,July
2024-07-26,06:56:00,CNR2221016338,Success,CID975331,"Prime Sedan",Basavanagudi,"Electronic City",217,140,,,No,,342,UPI,35,4.8,4.9,Friday,July
2024-07-10,14:48:00,CNR7345762146,Success,CID815175,eBike,Chickpet,Padmanabhanagar,147,85,,,No,,402,UPI,16,4.5,4.9,Wednesday,July
2024-07-19,10:44:00,CNR8846795220,Success,CID192892,"Prime Sedan","Magadi Road",Peenya,56,55,,,Yes,"Vehicle Breakdown",2654,UPI,34,4.7,3.5,Friday,July
2024-07-27,09:22:00,CNR1823395628,Success,CID205900,Mini,Nagarbhavi,"RT Nagar",280,115,,,No,,481,UPI,40,4.7,4.7,Saturday,July
2024-07-13,01:38:00,CNR5431498400,Success,CID775423,eBike,"Bannerghatta Road",Kammanahalli,35,75,,,No,,301,UPI,42,3.5,3.3,Saturday,July
2024-07-10,17:12:00,CNR5679394271,Success,CID592936,eBike,"JP Nagar",Varthur,210,25,,,No,,1148,UPI,37,3,3,Wednesday,July
2024-07-20,08:56:00,CNR1581302044,Success,CID907389,"Prime Sedan",Varthur,"Tumkur Road",287,140,,,No,,420,UPI,1,3.7,5,Saturday,July
2024-07-19,09:43:00,CNR2866819120,Success,CID545542,"Prime Sedan",Varthur,Ulsoor,70,125,,,No,,356,UPI,20,3.3,4.1,Friday,July
2024-07-17,14:38:00,CNR2811895590,Success,CID786688,"Prime Sedan",Hulimavu,"RT Nagar",154,100,,,No,,260,UPI,46,4.6,4,Wednesday,July
2024-07-06,13:43:00,CNR7571817039,Success,CID627539,eBike,"RT Nagar",Kammanahalli,294,35,,,No,,727,UPI,34,3.5,3.1,Saturday,July
2024-07-12,15:24:00,CNR1958976666,Success,CID207699,eBike,"Ramamurthy Nagar","RT Nagar",301,140,,,No,,273,UPI,37,3.4,3.2,Friday,July
2024-07-25,06:13:00,CNR1485772216,Success,CID940408,Auto,Kengeri,Padmanabhanagar,49,115,,,No,,318,UPI,15,4.7,4.9,Thursday,July
2024-07-15,10:23:00,CNR3906751011,Success,CID389738,"Prime SUV",Jayanagar,Varthur,70,130,,,No,,528,UPI,36,3.7,3.6,Monday,July
2024-07-09,07:03:00,CNR8306765948,Success,CID758277,Bike,Yelahanka,"Rajarajeshwari Nagar",63,125,,,No,,274,UPI,4,4.4,3.5,Tuesday,July
2024-07-30,19:31:00,CNR1394449988,Success,CID145819,Bike,Kammanahalli,Indiranagar,175,145,,,No,,513,UPI,39,4.1,3.5,Tuesday,July
2024-07-19,00:48:00,CNR6905892667,Success,CID346688,"Prime SUV","Magadi Road",Yelahanka,224,125,,,No,,146,UPI,10,3.1,3.1,Friday,July
2024-07-14,11:51:00,CNR1313721997,Success,CID547420,eBike,"Langford Town","Sahakar Nagar",238,120,,,No,,479,UPI,37,4.9,4.2,Sunday,July
2024-07-01,13:09:00,CNR5992333952,Success,CID995821,"Prime SUV","JP Nagar","RT Nagar",119,80,,,No,,234,UPI,7,5,4.4,Monday,July
2024-07-14,07:56:00,CNR3386898532,Success,CID730594,Auto,Yelahanka,"MG Road",70,60,,,No,,330,UPI,13,3.1,4.9,Sunday,July
2024-07-17,07:36:00,CNR5038496351,Success,CID691487,Bike,Hulimavu,Majestic,35,125,,,No,,2860,UPI,21,4.3,3.3,Wednesday,July
2024-07-19,02:15:00,CNR8602102956,Success,CID298871,eBike,Kammanahalli,"RT Nagar",231,55,,,No,,335,UPI,41,3.3,4.3,Friday,July
2024-07-22,22:43:00,CNR2137060823,Success,CID502308,Auto,"RT Nagar","BTM Layout",147,90,,,No,,144,UPI,17,4.4,3.2,Monday,July
2024-07-13,08:34:00,CNR8738990755,Success,CID195972,Bike,"KR Puram","BTM Layout",70,45,,,No,,281,UPI,15,3.9,4.8,Saturday,July
2024-07-13,02:51:00,CNR9615452155,Success,CID486877,Mini,Koramangala,"RT Nagar",224,25,,,No,,688,UPI,16,4,4.1,Saturday,July
2024-07-02,15:00:00,CNR7387627386,Success,CID753192,Mini,"RT Nagar","Langford Town",70,85,,,No,,979,UPI,7,4.5,3.5,Tuesday,July
2024-07-01,22:50:00,CNR4222360610,Success,CID541159,"Prime SUV","Frazer Town","Tumkur Road",210,95,,,No,,207,UPI,7,4,4.7,Monday,July
2024-07-13,14:20:00,CNR8924167055,Success,CID958006,"Prime SUV","Langford Town","Hosur Road",98,50,,,No,,1946,UPI,44,3.5,3.6,Saturday,July
2024-07-17,16:22:00,CNR8366993625,Success,CID791962,"Prime SUV",Yelahanka,Kengeri,126,145,,,Yes,"Vehicle Breakdown",149,UPI,11,4.9,3.8,Wednesday,July
2024-07-30,04:57:00,CNR4803963845,Success,CID289582,"Prime Plus","Mysore Road","Ramamurthy Nagar",147,100,,,No,,2685,UPI,18,4.6,3.1,Tuesday,July
2024-07-06,14:33:00,CNR8591926144,Success,CID762698,"Prime SUV",Kengeri,Whitefield,56,110,,,Yes,"Customer Demand",912,UPI,38,4.1,4.7,Saturday,July
2024-07-14,03:12:00,CNR9365242211,Success,CID572243,Bike,"Tumkur Road","Sarjapur Road",168,120,,,No,,168,UPI,41,3.1,4.7,Sunday,July
2024-07-17,00:24:00,CNR4136575670,Success,CID820578,eBike,Ulsoor,Hebbal,231,130,,,No,,430,UPI,6,4.8,3.2,Wednesday,July
2024-07-26,09:26:00,CNR7558590122,Success,CID728744,Mini,Yeshwanthpur,Varthur,308,40,,,No,,225,UPI,5,4.8,3.5,Friday,July
2024-07-13,21:23:00,CNR7383413243,Success,CID294150,Auto,Hebbal,"Richmond Town",63,55,,,No,,443,UPI,18,4.7,3.1,Saturday,July
2024-07-06,09:52:00,CNR7611104667,Success,CID697509,eBike,Malleshwaram,Hebbal,42,135,,,Yes,"Vehicle Breakdown",246,UPI,19,4.1,4.3,Saturday,July
2024-07-11,10:00:00,CNR2359086837,Success,CID390753,"Prime Plus",Indiranagar,Basavanagudi,287,130,,,No,,109,UPI,34,4.5,3.2,Thursday,July
