Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Day,Month
2024-07-21,14:34:00,CNR3729958417,Success,CID329960,"Prime SUV","KR Puram",Indiranagar,301,100,,,No,,598,Cash,36,4.6,3.1,Sunday,July
2024-07-25,06:11:00,CNR3774016270,Success,CID543882,Bike,"Tumkur Road","Rajarajeshwari Nagar",308,115,,,Yes,"Other Issue",2424,Cash,42,4.8,3.2,Thursday,July
2024-07-18,03:59:00,CNR3565058836,Success,CID474999,"Prime SUV",Rajajinagar,Basavanagudi,140,40,,,No,,859,UPI,17,3.7,3.9,Thursday,July
2024-07-26,06:56:00,CNR2221016338,Success,CID975331,"Prime Sedan",Basavanagudi,"Electronic City",217,140,,,No,,342,UPI,35,4.8,4.9,Friday,July
2024-07-10,14:48:00,CNR7345762146,Success,CID815175,eBike,Chickpet,Padmanabhanagar,147,85,,,No,,402,UPI,16,4.5,4.9,Wednesday,July
2024-07-03,11:09:00,CNR5728862143,Success,CID274877,"Prime Sedan","BTM Layout",Koramangala,168,130,,,No,,506,"Credit Card",37,3.3,3.3,Wednesday,July
2024-07-08,22:27:00,CNR1446817137,Success,CID247932,"Prime SUV","KR Puram","Electronic City",294,105,,,No,,424,Cash,26,4.6,4.5,Monday,July
2024-07-27,04:58:00,CNR3992469216,Success,CID855723,"Prime Sedan","MG Road",Yelahanka,287,35,,,No,,793,Cash,3,4,4,Saturday,July
2024-07-25,12:43:00,CNR3613637077,Success,CID543556,eBike,Kammanahalli,Indiranagar,112,105,,,No,,267,Cash,20,4.2,3.2,Thursday,July
2024-07-06,14:46:00,CNR8532368379,Success,CID732418,"Prime SUV","Tumkur Road",Kengeri,91,70,,,No,,688,Cash,8,3.1,4.2,Saturday,July
2024-07-19,10:44:00,CNR8846795220,Success,CID192892,"Prime Sedan","Magadi Road",Peenya,56,55,,,Yes,"Vehicle Breakdown",2654,UPI,34,4.7,3.5,Friday,July
2024-07-15,19:40:00,CNR9353067933,Success,CID231203,"Prime Plus",Kengeri,"Langford Town",238,100,,,No,,1362,Cash,13,3.4,3.3,Monday,July
2024-07-27,11:29:00,CNR3085290133,Success,CID558561,Mini,Vijayanagar,"Sahakar Nagar",49,115,,,No,,246,Cash,18,4.1,3.9,Saturday,July
2024-07-26,02:30:00,CNR7350644372,Success,CID494109,"Prime SUV",Marathahalli,"Mysore Road",294,110,,,No,,447,Cash,48,3.7,4.5,Friday,July
2024-07-20,09:23:00,CNR8240867040,Success,CID518667,eBike,Yelahanka,Shivajinagar,35,105,,,Yes,"Vehicle Breakdown",259,Cash,42,4.5,3.8,Saturday,July
2024-07-27,09:22:00,CNR1823395628,Success,CID205900,Mini,Nagarbhavi,"RT Nagar",280,115,,,No,,481,UPI,40,4.7,4.7,Saturday,July
2024-07-13,01:38:00,CNR5431498400,Success,CID775423,eBike,"Bannerghatta Road",Kammanahalli,35,75,,,No,,301,UPI,42,3.5,3.3,Saturday,July
2024-07-10,08:11:00,CNR7243435756,Success,CID182558,Auto,Whitefield,"Magadi Road",308,80,,,No,,251,Cash,15,3.1,4.9,Wednesday,July
2024-07-13,09:06:00,CNR5188353089,Success,CID102663,Mini,Indiranagar,"Langford Town",182,85,,,Yes,"Customer Demand",211,Cash,28,4.1,4.4,Saturday,July
2024-07-10,17:12:00,CNR5679394271,Success,CID592936,eBike,"JP Nagar",Varthur,210,25,,,No,,1148,UPI,37,3,3,Wednesday,July
2024-07-27,04:18:00,CNR5467922806,Success,CID501069,"Prime SUV","HSR Layout",Banashankari,154,95,,,No,,866,Cash,6,3.8,3.1,Saturday,July
2024-07-21,00:02:00,CNR1412658139,Success,CID449104,Auto,"Bannerghatta Road","KR Puram",252,125,,,No,,375,Cash,9,3.5,3.9,Sunday,July
2024-07-08,04:38:00,CNR3301255500,Success,CID607269,"Prime SUV",Bellandur,Vijayanagar,266,60,,,No,,367,Cash,18,3.4,3.5,Monday,July
2024-07-20,08:56:00,CNR1581302044,Success,CID907389,"Prime Sedan",Varthur,"Tumkur Road",287,140,,,No,,420,UPI,1,3.7,5,Saturday,July
2024-07-26,08:30:00,CNR3507801464,Success,CID585528,"Prime Sedan",Yeshwanthpur,"Frazer Town",252,115,,,No,,788,Cash,8,3.6,3.3,Friday,July
2024-07-19,09:43:00,CNR2866819120,Success,CID545542,"Prime Sedan",Varthur,Ulsoor,70,125,,,No,,356,UPI,20,3.3,4.1,Friday,July
2024-07-01,16:02:00,CNR7524067429,Success,CID467937,"Prime Plus","Langford Town","RT Nagar",161,70,,,No,,337,Cash,38,3.3,3.2,Monday,July
2024-07-19,00:26:00,CNR3167010417,Success,CID702366,Mini,"Frazer Town",Devanahalli,84,85,,,No,,297,Cash,23,4,3.6,Friday,July
2024-07-11,06:16:00,CNR2788375391,Success,CID887580,Bike,"Rajarajeshwari Nagar",Vijayanagar,294,100,,,No,,229,Cash,19,3.3,4.9,Thursday,July
2024-07-15,06:03:00,CNR8459480724,Success,CID961439,eBike,Marathahalli,Majestic,119,130,,,No,,160,Cash,3,3.1,3.6,Monday,July
2024-07-17,14:38:00,CNR2811895590,Success,CID786688,"Prime Sedan",Hulimavu,"RT Nagar",154,100,,,No,,260,UPI,46,4.6,4,Wednesday,July
2024-07-06,13:43:00,CNR7571817039,Success,CID627539,eBike,"RT Nagar",Kammanahalli,294,35,,,No,,727,UPI,34,3.5,3.1,Saturday,July
2024-07-03,10:12:00,CNR8509901642,Success,CID528228,"Prime Sedan",Hulimavu,Peenya,126,70,,,No,,2226,Cash,4,3.9,3.4,Wednesday,July
2024-07-06,22:09:00,CNR6797520410,Success,CID641081,"Prime Plus",Shivajinagar,"Sarjapur Road",161,65,,,No,,435,Cash,40,3.9,3.9,Saturday,July
2024-07-12,15:24:00,CNR1958976666,Success,CID207699,eBike,"Ramamurthy Nagar","RT Nagar",301,140,,,No,,273,UPI,37,3.4,3.2,Friday,July
2024-07-04,17:51:00,CNR4139745465,Success,CID253790,"Prime Plus",Yelahanka,"Magadi Road",63,50,,,No,,1647,Cash,13,4.7,4.5,Thursday,July
2024-07-07,17:05:00,CNR8581689740,Success,CID729808,Bike,"Sarjapur Road","Richmond Town",196,60,,,No,,217,Cash,2,4,3.6,Sunday,July
2024-07-05,09:37:00,CNR2871799742,Success,CID424828,Mini,Koramangala,"KR Puram",238,120,,,No,,422,Cash,21,4.7,3.4,Friday,July
2024-07-25,06:13:00,CNR1485772216,Success,CID940408,Auto,Kengeri,Padmanabhanagar,49,115,,,No,,318,UPI,15,4.7,4.9,Thursday,July
2024-07-15,10:23:00,CNR3906751011,Success,CID389738,"Prime SUV",Jayanagar,Varthur,70,130,,,No,,528,UPI,36,3.7,3.6,Monday,July
